segment,status,selected_samples,complete_profiles,median_delta,median_center_presence,fraction_center_above_control_mean,selection_sha256,orientation_presence_weighted_median_tangent_angle_degrees,orientation_matched_baseline_degrees,orientation_improvement_degrees
20260130000000-w031_2026013019,analyzable,473,473,-0.014212472719917182,0.15564546528301293,0.46511627906976744,e5da9324a27f0a3259b7c2eb4cdf8bc50f5a412a6be3e4767b8dd8e04f6b6225,8.1343968097859136,21.589705221363815,13.455308411577901
20260203000000-w032_2026020303,analyzable,475,475,-0.032232923755759223,0.144803180225997,0.44210526315789472,4f4aac26f6b4aa38bcd8a704c654725b11ceded52067a6318f450fc471515a2e,7.1770869330136087,21.321090204997724,14.144003271984115
20260206000000-w042_2026020613,analyzable,492,492,-0.0077593404675382217,0.12442884102071962,0.47154471544715448,34f88b693335b71c716a18caaa543197aca9d6f35b7e10abd060e5ada5649fc3,7.1002660137822984,22.617016523585605,15.516750509803305
20260206000001-w047_2026020613,analyzable,500,500,0.024440916296265346,0.15880411436959477,0.55000000000000004,0819627868610e1792dc22869e41cd4ca02939d0a566e5be4756420a87018e8d,5.6542278230786147,26.273209604788992,20.618981781710378
20260206000002-w054_2026020617,analyzable,484,484,0.012619151070784124,0.18341570184654532,0.52272727272727271,bfdee93ae5324f89c56210b0066fb691d93d54a6fb770f8259f320ddfef71e36,6.7974472028384518,24.057598889068277,17.260151686229825
20260210000000-w058_2026021020,analyzable,480,480,0.022230080679143449,0.21207775278317237,0.52708333333333335,466391654721a5fc66b5b20f81bfbb9ce1bc8ed3d781d6e773489582a85884f7,7.150467618124515,25.654984637834918,18.504517019710402
20260215000000-w024_2026021572,analyzable,464,464,0.033812189940582583,0.19499215527469585,0.54094827586206895,d2b9e72661153f2458417b8d6596c49b7c00ed50563429a86c60f46784afba41,6.5815866899834017,24.859595215024605,18.278008525041201
20260219000000-w033_2026021913,analyzable,476,476,-0.0070453803052021799,0.19267244633451541,0.48739495798319327,a3d5e473ea874e4f6ca4c35fa5c986d33d94b945bd152de0ca2aeae210118dc8,6.4667247074490897,29.603174568220677,23.136449860771588
20260219000001-w048_2026021912,analyzable,507,507,-0.01838895651886803,0.10537597502926456,0.45562130177514792,b5796f6a8dde3895209d281fbe4fd779bef0c574dd5e0273d8a6ed4ae34481b4,6.9619841542978937,21.360311392054239,14.398327237756344
20260220000000-w053_2026022021,analyzable,485,485,-0.010657374394403396,0.15437961298753805,0.48659793814432989,80778a07713098c834baceb57c11387ab63f7e62f773856698d822fda013417b,6.5186943628342604,26.755111266138645,20.236416903304384
20260227000000-w052_2026022705,analyzable,501,501,0.017433353622681003,0.218469098894018,0.52095808383233533,153a9e720296a5f81c092d2ac2b60517ffc043edaad296be7df4bb5d72c9d865,6.5596907491681096,21.87914760698726,15.319456857819151
20260302000000-w039_2026030210,analyzable,370,370,0.0001552348736316711,0.14101096462361645,0.5,3f173f7ac684b55d082db4329d4aa5eafa7b7bd72dcf28360cf42e6b029961cf,7.2449171743039464,21.818144812259213,14.573227637955267
20260302000001-w050_2026030220,analyzable,491,491,0.0050552628961041124,0.15172154277462657,0.51120162932790225,370c813502d679e3d4c71653debfeb55bc25e277ba5a13fd01f6561681030ed5,6.3113045209957024,25.775472094008176,19.464167573012475
20260303000000-w034_2026030317,analyzable,476,476,0.028690507462012953,0.22339553563935766,0.53781512605042014,b25860b31eddb494a6a24ad502bcfbdfdb579252673ec1d219e9470d3f69b288,6.8496583864181506,24.658788726254365,17.809130339836216
20260306000000-w038_2026030608,analyzable,484,484,0.032513722738772774,0.19549643704767553,0.56198347107438018,1bb01bab96fe474f4827f53c1422350e02ee79d59caf8ca7317291a57ccb82cc,6.1904931222501283,17.576787282092639,11.38629415984251
20260306000001-w051_2026030600,analyzable,499,499,0.0009400892628401436,0.18728601869204831,0.50300601202404804,159e071585ca271ccc6eccef985e2810cccc427b5ee58ccc5404e7a8cce3aa4a,6.7853906186583739,21.786007133271397,15.000616514613023
20260310000000-w037_2026031015,analyzable,487,487,0.059714535088771753,0.23036224507348949,0.57084188911704314,831fa0a42156eae244ecad6f757346e59347aede9e92c58958ddb94a607edb67,6.4379766386734012,21.92688784350792,15.488911204834519
20260311000000-w023_202603112281,analyzable,465,465,0.065428592775260835,0.20495559612873146,0.59139784946236562,cd9319b3feef8e3413585f71a1e8907debb00779edff53b25f99d14ab4899ed5,6.216516968736701,28.693203749970884,22.476686781234182
20260316000000-w036_2026031607,analyzable,483,483,0.034595828214891253,0.21650218891305734,0.56935817805383027,15acbcfef317a14db9b223b30d08f4bb6c5268bda3239319676864966891f70c,6.2203406086821671,24.608578441575645,18.388237832893477
20260317000000-w035_2026031718,analyzable,467,467,0.024202428453810057,0.19224631752255009,0.54817987152034264,33f2f675a2902434cea0e126866797d2f9e88a6b5383883214915d352a8a6620,7.7596545038840974,23.269276018726341,15.509621514842244
20260318000000-w049_20260318,analyzable,505,505,-0.018294195708612841,0.1417647609459784,0.47128712871287126,debb6f52d9b948b04ceea2b53b2e373821ea028ee47bda106953b918f5cd043b,6.3975895420641313,24.974951856541811,18.577362314477678
20260325000000-w046_20260325,analyzable,495,495,0.032680539962384014,0.22305762936479831,0.54141414141414146,9aa082b1be37fe7c38181f6c189cdc5279db18f8f8c2ddd39c6772712aa0d663,5.9986189525399061,25.129559331681783,19.130940379141876
